TimeStamp, Type, State, Seconds, ErrorCode, ErrorMessage, Application, Scope, Mandant, User, Report, SubReportTables, SubReportFields, Tables, Finds, Crit%, ReqRows, Rows, TempIndexCount, TempIndexRecs, OnTheFlyCount, OnTheFlyRecs, Memory, TempMemory, Parameter, Reused, Delayed, SnapshotMeta, RunningReports, OpenReports, Sessions
2023/06/20 10:42:35.087, rep, ok, 0.00391, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\SpezMatDienst_bestellen\_v3_Spez_Mat_Dienst_PPS_Ressource_Erfassen.avw", 0, 0, 7, 16, 25,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\zent\peng\4bb895fd-7487-03c0-b13...|$Scope=DefaultScope|$Type=abadb-sqlite|$UserFmt='.E.|$UserMsg=de|Parameter1=106437", 3, 0, , 3, 122, 299
2023/06/20 10:42:35.579, rep, ok, 0.14225, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\PPS\PPS_ODR_Referenz.avx", 0, 0, 1, 2, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|paNummer=106437", 10, 0, , 4, 121, 299
2023/06/20 10:42:35.820, rep, ok, 0.00084, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=999998|variantenNummer=0", 32, 0, , 4, 121, 300
2023/06/20 10:42:36.092, rep, ok, 0.01968, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\PPS\PPS_generieren_Werkstuecke\PPS_generieren_Werkstuecke_PosErfassen.avx", 4, 0, 13, 55, 100,, 1, 0, 0, 0, 0, 0.31, 0.07, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|PaNr=106439", 1, 0, , 4, 121, 301
2023/06/20 10:42:36.228, rep, ok, 0.05177, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\SpezMatDienst_bestellen\Spez_Mat_Dienst_Best_PosErfassen.avw", 1, 0, 20, 74, 54,, 3, 0, 0, 0, 0, 0.12, 0.03, "$Client=8370|$ExportPath=D:\Abacus\abac\tmp_server\peng\4bb895fd-7487-03c0-...|$Scope=DefaultScope|$Type=xml_av/utf-8|$UserFmt='.E.|$UserMsg=de|Bestelltyp=11|Parameter1=106437", 1, 0, , 4, 121, 302
2023/06/20 10:42:36.882, rep, ok, 0.08183, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Einkauf\DoppelteRechnungsNummer\DoppelteRechnungsNummer.avx", 0, 0, 1, 172, 100,, 170, 0, 0, 1, 170, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|BestellNr=5064794|LieferantenNr=71396|RechnungsNr=", 33, 0, , 4, 121, 302
2023/06/20 10:42:36.944, rep, ok, 0.00076, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=999998|variantenNummer=0", 33, 0, , 4, 121, 303
2023/06/20 10:42:37.000, rep, ok, 0.04204, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Einkauf\DoppelteRechnungsNummer\DoppelteRechnungsNummer.avx", 0, 0, 1, 172, 100,, 170, 0, 0, 1, 170, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|BestellNr=5064794|LieferantenNr=71396|RechnungsNr=", 34, 0, , 4, 121, 303
2023/06/20 10:42:37.150, rep, ok, 0.00072, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\ADOSperren\ADOSperrenVK.avx", 0, 0, 2, 3, 100,, 1, 0, 0, 0, 0, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\kd\abav\zentrale_daten\tmp_Zentrale...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|artikelNummer=212000106|variantenNummer=0", 34, 0, , 4, 121, 303
2023/06/20 10:42:37.202, rep, ok, 0.04191, 0, "", "ABAV", "", 8370, "dosa[106]", "D:\Abacus\abac\kd\abav\HEAG\ABEA\Einkauf\DoppelteRechnungsNummer\DoppelteRechnungsNummer.avx", 0, 0, 1, 172, 100,, 170, 0, 0, 1, 170, 0.06, 0.01, "$Client=8370|$ExportPath=D:\Abacus\abac\out\HEAG\Werkstuecke\tmp_Werkstueck...|$Scope=DefaultScope|$Type=print-txt/ansi|$UserMsg=de|BestellNr=5064794|LieferantenNr=71396|RechnungsNr=", 35, 0, , 4, 121, 303
